BREED,GROUP
NORWEGIAN+ELKHOUND,5
CAIRN+TERRIER,3
GREYHOUND,1
CANAAN+DOG,5
BICHON+FRISE,9
MINIATURE+PINSCHER,2
OTTERHOUND,6
SALUKI,1
CAVALIER+SPAN,9
FLAT+COAT+RETRIEVER,8
BEAGLE,6
GERMAN+WIREHAIRED+POINTER,7
BELGIAN+MALINOIS,1
GERMAN+SHORTHAIR+POINTER,7
NEWFOUNDLAND,2
HAVANESE,9
PARSON+RUSSELL+TERRIER,3
ST.+BERNARD+SMOOTH+COAT,2
AMERICAN+BULLDOG,2
IBIZAN+HOUND,5
MANCHESTER+TERRIER,3
ENGLISH+SHEPHERD,1
BRUSS+GRIFFON,9
STAFFORDSHIRE,3
TIBETAN+TERRIER,9
BASENJI,5
MEXICAN+HAIRLESS,5
LEONBERGER,2
CHINESE+CRESTED,9
BELGIAN+SHEEPDOG,1
HARRIER,6
PLOTT+HOUND,6
MALTESE,9
GERMAN+PINSCHER,2
DACHSHUND+LONGHAIR,4
FIELD+SPANIEL,8
BRITTANY,7
JACK+RUSSELL+TERRIER,3
CARDIGAN+WELSH+CORGI,1
SHIBA+INU,5
GREAT+DANE,2
AMERICAN+STAFFORDSHIRE+TERRIER,3
DOGO+ARGENTINO,2
TAN+HOUND,6
SAMOYED,5
REDBONE+HOUND,6
AIREDALE+TERRIER,3
GLEN+OF+IMAAL,3
SMOOTH+FOX+TERRIER,3
FINNISH+SPITZ,5
DALMATIAN,6
GOLDEN+RETRIEVER,8
OLD+ENGLISH+BULLDOG,2
FRENCH+BULLDOG,9
YORKSHIRE,3
ITALIAN+GREYHOUND,1
BORDER+TERRIER,3
BEDLINGTON+TERR,3
JAPANESE+CHIN,9
DACHSHUND,4
SIBERIAN+HUSKY,5
ROTTWEILER,2
ENTLEBUCHER,2
AFGHAN+HOUND,1
SPANISH+WATER+DOG,8
POINTER,7
ANATOL+SHEPHERD,1
DOBERMAN+PINSCH,2
TOY+POODLE,9
WIREHAIRED+POINTING+GRIFFON,7
TREEING+CUR,2
BELGIAN+TERVUREN,1
BLUETICK+HOUND,6
GREAT+PYRENEES,2
BULLDOG,2
LABRADOR+RETRIEVER,8
BLUE+LACY,6
RHOD+RIDGEBACK,6
WHIPPET,1
SILKY+TERRIER,3
VIZSLA,7
PEMBROKE+WELSH+CORGI,1
ALASKAN+HUSKY,5
SWISS+HOUND,6
KUVASZ,1
AKITA,5
SEALYHAM+TERR,3
PEKINGESE,9
PHARAOH+HOUND,5
ENGLISH+COCKER+SPANIEL,8
BERNESE+MOUNTAIN+DOG,2
AUSTRALIAN+KELPIE,1
CHIHUAHUA+SHORTHAIR,9
SOFT+COATED+WHEATEN+TERRIER,3
NORWICH+TERRIER,3
CHESA+BAY+RETR,8
BORDER+COLLIE,1
AUSTRALIAN+TERRIER,3
SPINONE+ITALIANO,7
AMERICAN+ESKIMO,6
CHOW+CHOW,5
RAT+TERRIER,3
ENGLISH+POINTER,7
AMERICAN+PIT+BULL+TERRIER,3
BASSET+HOUND,6
BOSTON+TERRIER,9
BULL+TERRIER+MINIATURE,3
BOXER,2
SCOTTISH+TERRIER,3
PUG,9
BULL+TERRIER,3
MASTIFF,2
COLLIE+ROUGH,1
PICARDY+SHEEPDOG,1
NORFOLK+TERRIER,3
SKYE+TERRIER,3
STANDARD+SCHNAUZER,2
PRESA+CANARIO,2
PORT+WATER+DOG,8
IRISH+TERRIER,3
WIRE+HAIR+FOX+TERRIER,3
STANDARD+POODLE,9
PODENGO+PEQUENO,5
DACHSHUND+WIREHAIR,4
CHIHUAHUA+LONGHAIR,9
COCKER+SPANIEL,8
OLD+ENGLISH+SHEEPDOG,1
SWEDISH+VALLHUND,5
MINIATURE+POODLE,9
AUSTRALIAN+SHEPHERD,1
SCHNAUZER+GIANT,2
SHETLAND+SHEEPDOG,1
AMERICAN+FOXHOUND,6
AUSTRALIAN+CATTLE+DOG,1
ENGLISH+SPRINGER+SPANIEL,8
LHASA+APSO,9
DOGUE+DE+BORDEAUX,2
GREATER+SWISS+MOUNTAIN+DOG,2
TOY+FOX+TERRIER,9
ENGLISH+COONHOUND,6
AFFENPINSCHER,2
BULLMASTIFF,2
SPANISH+MASTIFF,2
WEIMARANER,7
ST.+BERNARD+ROUGH+COAT,2
SHIH+TZU,9
BEARDED+COLLIE,1
ENGLISH+BULLDOG,2
LANDSEER,2
MINIATURE+SCHNAUZER,2
GERMAN+SHEPHERD,1
BORZOI,1
SCHIPPERKE,1
JINDO,5
WELSH+TERRIER,3
DUTCH+SHEPHERD,1
WELSH+SPRINGER+SPANIEL,8
COLLIE+SMOOTH,1
BLOODHOUND,6
YORKSHIRE+TERRIER,3
CAROLINA+DOG,1
BLACK+MOUTH+CUR,6
PIT+BULL,3
IRISH+SETTER,7
NEAPOLITAN+MASTIFF,2
CANE+CORSO,2
ENGLISH+SETTER,7
WEST+HIGHLAND,3
CHINESE+SHARPEI,2
HOVAWART,2
IRISH+WOLFHOUND,1
ALASKAN+MALAMUTE,5
NOVA+SCOTIA+DUCK+TOLLING+RETRIEVER,8
BLACK,2
TIBETAN+SPANIEL,9
TREEING+WALKER+COONHOUND,6
ENGLISH+FOXHOUND,6
